year,temperature-ssp245
2015,0.83574956930714
2016,0.8305829531810516
2017,0.9144686067413832
2018,1.0456099459279915
2019,1.1148677910784057
2020,1.0368137555281463
2021,1.0105637744835323
2022,1.1120773853297725
2023,0.8091771312076985
2024,0.6804640009172421
2025,0.6872576207526188
2026,0.6738678042312656
2027,0.7585716881389885
2028,1.0808916859642763
2029,1.119983168190723
2030,1.1657954371519021
2031,1.1616381571316063
2032,1.1738558196549929
2033,0.9140775667348343
2034,1.130114583908118
2035,1.2926508828390804
2036,1.221371173997945
2037,1.2812611882612572
2038,1.4329304866179675
2039,1.3118490540661636
2040,1.27544095946696
2041,1.1727354307434708
2042,1.198566506710864
2043,1.4401846097690372
2044,1.5920878215628709
2045,1.233996983753964
2046,1.202394832899455
2047,1.410197309473702
2048,1.649778316484958
2049,1.7205452123078728
2050,1.408453645570206
2051,1.4855935972004286
2052,1.6727101077496738
2053,1.4488109876324888
2054,1.3548298445687552
2055,1.4364781090467464
2056,1.4799271638603748
2057,1.7142395176409788
2058,1.62303352846123
2059,1.6506280611955142
2060,1.679759577387637
2061,1.6516520796383418
2062,1.7281128323163248
2063,1.6616078069197064
2064,1.5083215854860006
2065,1.6333655313890345
2066,1.7905045618484958
2067,2.1860186011629494
2068,1.989647358583995
2069,1.624333090864277
2070,1.466874419531127
2071,1.9052985707606436
2072,2.0572771747200598
2073,1.9428439682966445
2074,2.009871379232832
2075,2.012442065675057
2076,1.7829637067255009
2077,1.8311660616647678
2078,1.917916152695144
2079,1.8500053176308993
2080,1.8976414297522697
2081,2.147580065959738
2082,2.180574460763677
2083,1.9839484567821313
2084,2.060399239209953
2085,2.331668557805026
2086,2.1856622852771252
2087,2.0461956213986223
2088,1.917640688281515
2089,2.0076522206565186
2090,2.17903373767273
2091,2.3194776436152997
2092,2.1957474357647486
2093,2.0041824678019644
2094,2.0862929913760877
2095,2.233870061278261
2096,2.0872453401856106
2097,2.166403915890754
2098,2.314735509487388
2099,2.221082156883089
2100,2.193979598741156
